[ 2026-05-08 16:34:02,358 ] 20 root - INFO - Initiate the data ingestion
[ 2026-05-08 16:34:06,601 ] 61 root - INFO - Performed train test split on the dataframe
[ 2026-05-08 16:34:06,601 ] 62 root - INFO - Exited split_dta_as_train_test meth od Data Ingestion class
[ 2026-05-08 16:34:06,601 ] 66 root - INFO - Exploring train and test file path
[ 2026-05-08 16:34:06,654 ] 71 root - INFO - Exported train and test split data
[ 2026-05-08 16:34:06,654 ] 22 root - INFO - Data Initiation completed
[ 2026-05-08 16:34:06,664 ] 25 root - INFO - Initiate Data Validation
[ 2026-05-08 16:34:06,754 ] 33 root - INFO - Required number of columns : 2
[ 2026-05-08 16:34:06,754 ] 34 root - INFO - Dataframe has columns : 31
[ 2026-05-08 16:34:06,754 ] 33 root - INFO - Required number of columns : 2
[ 2026-05-08 16:34:06,754 ] 34 root - INFO - Dataframe has columns : 31
[ 2026-05-08 16:34:06,950 ] 27 root - INFO - data validation completed
[ 2026-05-08 16:34:06,951 ] 30 root - INFO - data Transformation started
[ 2026-05-08 16:34:06,951 ] 54 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-05-08 16:34:06,951 ] 56 root - INFO - Starting data transformation
[ 2026-05-08 16:34:06,986 ] 43 root - INFO - Entered fet_data_transformer_object method of Transformation class
[ 2026-05-08 16:34:06,986 ] 47 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-05-08 16:34:06,996 ] 48 root - INFO - Entered the save_object method of MainUtils class
[ 2026-05-08 16:34:07,002 ] 53 root - INFO - Exited the save_object method of MainUtils class
[ 2026-05-08 16:34:07,002 ] 34 root - INFO - data transformation ended
[ 2026-05-08 16:34:07,002 ] 37 root - INFO - Model Training sstared
[ 2026-05-08 16:37:35,412 ] 48 root - INFO - Entered the save_object method of MainUtils class
[ 2026-05-08 16:37:35,412 ] 53 root - INFO - Exited the save_object method of MainUtils class
[ 2026-05-08 16:37:35,412 ] 48 root - INFO - Entered the save_object method of MainUtils class
[ 2026-05-08 16:37:35,442 ] 53 root - INFO - Exited the save_object method of MainUtils class
[ 2026-05-08 16:37:35,442 ] 116 root - INFO - Model trainer artifact : ModelTrainerArtifact(trained_model_file_path='Artifacts\\05_08_2026_16_34_00\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9907145740815503, precision_score=0.9881216025770082, recall_score=0.9933211900425015), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9758691206543967, precision_score=0.9707078925956062, recall_score=0.9810855263157895))
[ 2026-05-08 16:37:35,442 ] 42 root - INFO - Model Training artifact created
